Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
TCGA.GM.A3XG.01	0.000538947318889927	0.00176971630659216	0	0	0	0.0215057843615606	0	0.039839848947091	0.000307043015400805	0	0.00627195176523013	0.00252103850285923	0	0.0744346512358412	0.00842953458720356	0.00477440974450252	0	0	0.00916952063779475	0	0	0	9999	0.155514387736818	1.05973573697387	0.169562446422966
TCGA.BH.A18J.01	1.16391083625133e-07	0.000786967072734777	0.000165671535236298	0	0	0.03876482076262	0	0.00604271677312119	0.010997166672162	0	0.00538513087043806	0.00412160435311945	0	0.0483406443906924	6.67054751027231e-05	0.028423971952743	0	0	0.00789972988198855	0	0	0	9999	0.308602448918031	0.971487172467805	0.150995246131042
TCGA.BH.A0W7.01	0.074791881065531	0	0.026588159846938	0.0385282446385724	0	0.0441290464618649	0.00476058144292584	0.00945867160231408	0.0561885033636431	0	0.0275189203659128	0	0.00897991445109508	0.158023225389269	0.070625136091766	0.0826943691533467	0	0	0.0613024637238211	0	0	0	9999	0.370560377073145	0.930463057018773	0.663589117597
TCGA.E9.A3QA.01	0.0187667287901016	0.0413458720280072	0	0.042183913770877	0	0.0783918069461949	0.0116731167869947	0.0773904511328316	0.0685639081515726	0	0.0556508150082679	0	0	0.160431925563438	0.150254190032426	0.0608643106473793	0	0.0269671655321974	0.00918261330938162	0	0	0	9999	0.467481134872713	0.884428224492014	0.80166681769967
TCGA.A7.A4SD.01	0.0230039439733847	0	0.0386097113885393	0.0328716845608158	0	0.0276053683805112	0.00214987235744883	0.0595885754960681	0.0165103107910256	0	0.0132177892704578	0	0.00163776874799716	0.0841007714319953	0.0701040703849295	0.0311666973923981	0	0.00708874268959882	0.0120146095345682	0	0	0	9999	0.294533516367889	0.970303977845376	0.419669916399738
TCGA.BH.A0HA.01	0.0188983516742596	0	0.00850360447002982	0.024504671041098	0	0.0591430630210928	0	0.0307325890862825	0.0395862835921106	0	0.0125482093264328	0.000533608917529571	0.00615516388203248	0.0185053304386772	0.0618704526124211	0.0579160256900912	0.00397929912919283	0	0.0579656589846855	0	0	0	9999	0.179022126412231	1.0180441439173	0.400842311865936
TCGA.AR.A5QN.01	0.0113115363340298	0	0.0186034692365256	0.0232246118705984	0	0.0791533574343362	0	0.00718814834710201	0	0	0.0174798004885608	0	0.00536781407750758	0.00013471560342432	0.0325369868050779	0.0765942526864149	0	0	0.0431636245436294	0	0	0	9999	0.0451068764837134	1.065469597958	0.314758317427207
TCGA.A7.A0CH.11	0.0655146978391308	0.00723032242318036	0.0272156827852887	0.0145042725425878	0	0.0117369892179724	0	0.0369739080793473	0.0136304587034915	0	0.00735137356713178	0.00827634606422801	0.00550927628791426	0.0840955181411288	0.0127276164980224	0.172939587880956	0	0	0.0275669622077934	0	0	0	9999	0.195216743669363	1.01320873191658	0.495273012238173
TCGA.A7.A0CE.01	0.0138059797514044	0	0.00534809284672548	0.0101632692172191	0	0.00646245144286646	0	0.017588697925746	0.00724120040840481	0	0.00716296306266902	0.000646929845597936	0	0.0476994330761832	0.0184660915097244	0.0417552898027959	0	0.0110502026144404	0.00965831050842545	0	0	0	9999	0.0889082341587627	1.06569185555822	0.197048912012203
TCGA.AR.A0U1.01	0.0580497295747061	0	0.0463576137293466	0.0495459897852224	0	0	0	0.0530024346819343	0.0247647067707168	0	0.00443255434018368	0.00422354657253916	0.0060927389560641	0.00796527909293438	0.0492953652235518	0.0835539475631462	0.0151702401421555	0.0058062734994635	0.0141271689434828	0	0	0	9999	0.13458505384217	1.02600388655788	0.422387588875447
